ANNOSCOLASTICO,PROVINCIA,TIPOSUPPLENZA,FASCIAETA,ATASUPPLENTIMASCHI,ATASUPPLENTIFEMMINE
201617,LECCE,FINO AL TERMINE,TRA 35 E 44,0,8
201617,BELLUNO,ANNUALE,TRA 35 E 44,2,5
201617,PADOVA,FINO AL TERMINE,TRA 45 E 54,18,79
201617,LATINA,ANNUALE,FINO A 34,2,0
201617,ALESSANDRIA,FINO AL TERMINE,TRA 45 E 54,15,47
201617,LIVORNO,FINO AL TERMINE,TRA 45 E 54,7,38
201617,PORDENONE,FINO AL TERMINE,FINO A 34,7,30
201617,ANCONA,FINO AL TERMINE,TRA 45 E 54,19,65
201617,RIMINI,FINO AL TERMINE,OLTRE 54,6,34
201617,TARANTO,FINO AL TERMINE,FINO A 34,1,3
201617,MILANO,ANNUALE,TRA 35 E 44,25,37
201617,CALTANISSETTA,FINO AL TERMINE,TRA 35 E 44,1,2
201617,GENOVA,FINO AL TERMINE,TRA 45 E 54,24,84
201617,OGLIASTRA,ANNUALE,OLTRE 54,0,1
201617,TRIESTE,FINO AL TERMINE,TRA 35 E 44,10,16
201617,RAVENNA,FINO AL TERMINE,TRA 45 E 54,11,52
201617,TORINO,FINO AL TERMINE,TRA 35 E 44,75,144
201617,AREZZO,FINO AL TERMINE,TRA 35 E 44,1,14
201617,BOLOGNA,FINO AL TERMINE,FINO A 34,46,78
201617,PERUGIA,ANNUALE,FINO A 34,0,1
201617,FERMO,ANNUALE,TRA 45 E 54,0,5
201617,FIRENZE,ANNUALE,TRA 45 E 54,6,5
201617,TREVISO,FINO AL TERMINE,OLTRE 54,20,42
201617,SONDRIO,ANNUALE,OLTRE 54,3,4
201617,BENEVENTO,ANNUALE,TRA 35 E 44,0,1
201617,LECCE,ANNUALE,OLTRE 54,6,3
201617,BERGAMO,FINO AL TERMINE,TRA 35 E 44,24,65
201617,NAPOLI,FINO AL TERMINE,FINO A 34,18,31
201617,PISA,FINO AL TERMINE,TRA 35 E 44,5,18
201617,SALERNO,FINO AL TERMINE,TRA 35 E 44,11,18
201617,FROSINONE,FINO AL TERMINE,OLTRE 54,7,27
201617,SASSARI,ANNUALE,OLTRE 54,1,3
201617,FORLI'-CESENA,ANNUALE,TRA 45 E 54,3,2
201617,MANTOVA,FINO AL TERMINE,FINO A 34,12,23
201617,BENEVENTO,ANNUALE,FINO A 34,0,2
201617,FOGGIA,FINO AL TERMINE,OLTRE 54,12,24
201617,TERAMO,FINO AL TERMINE,OLTRE 54,18,34
201617,SIENA,FINO AL TERMINE,OLTRE 54,3,10
201617,RAVENNA,ANNUALE,TRA 35 E 44,2,1
201617,LUCCA,FINO AL TERMINE,FINO A 34,3,1
201617,LA SPEZIA,ANNUALE,FINO A 34,0,1
201617,BARI,FINO AL TERMINE,TRA 45 E 54,26,110
201617,PISA,ANNUALE,TRA 35 E 44,0,5
201617,BIELLA,FINO AL TERMINE,TRA 45 E 54,8,31
201617,LATINA,ANNUALE,OLTRE 54,3,5
201617,LECCO,ANNUALE,TRA 45 E 54,2,5
201617,PRATO,ANNUALE,OLTRE 54,1,0
201617,COMO,ANNUALE,TRA 35 E 44,1,8
201617,CHIETI,FINO AL TERMINE,OLTRE 54,10,38
201617,BARI,ANNUALE,OLTRE 54,6,11
201617,CAMPOBASSO,ANNUALE,TRA 35 E 44,0,1
201617,CREMONA,FINO AL TERMINE,TRA 45 E 54,7,51
201617,TREVISO,ANNUALE,TRA 45 E 54,6,11
201617,RAGUSA,FINO AL TERMINE,TRA 35 E 44,5,10
201617,MILANO,FINO AL TERMINE,TRA 45 E 54,56,92
201617,SIRACUSA,FINO AL TERMINE,OLTRE 54,12,19
201617,TRAPANI,FINO AL TERMINE,FINO A 34,0,1
201617,POTENZA,ANNUALE,OLTRE 54,2,7
201617,PISTOIA,FINO AL TERMINE,TRA 45 E 54,8,23
201617,CHIETI,FINO AL TERMINE,TRA 45 E 54,15,51
201617,COSENZA,FINO AL TERMINE,TRA 45 E 54,13,26
201617,ANCONA,ANNUALE,TRA 35 E 44,2,2
201617,LODI,ANNUALE,TRA 35 E 44,2,5
201617,RIMINI,ANNUALE,TRA 45 E 54,2,2
201617,MATERA,ANNUALE,OLTRE 54,0,2
201617,MANTOVA,FINO AL TERMINE,TRA 35 E 44,8,19
201617,UDINE,ANNUALE,TRA 35 E 44,2,6
201617,LECCE,FINO AL TERMINE,TRA 45 E 54,26,40
201617,VERCELLI,ANNUALE,OLTRE 54,0,2
201617,PADOVA,FINO AL TERMINE,OLTRE 54,14,45
201617,NAPOLI,ANNUALE,TRA 45 E 54,39,47
201617,PAVIA,FINO AL TERMINE,TRA 45 E 54,4,25
201617,BIELLA,ANNUALE,TRA 45 E 54,1,2
201617,CATANIA,FINO AL TERMINE,TRA 45 E 54,22,59
201617,ROMA,ANNUALE,TRA 35 E 44,8,22
201617,FORLI'-CESENA,FINO AL TERMINE,TRA 45 E 54,22,34
201617,PESCARA,FINO AL TERMINE,TRA 35 E 44,2,12
201617,PORDENONE,FINO AL TERMINE,TRA 35 E 44,9,41
201617,VICENZA,ANNUALE,TRA 35 E 44,7,9
201617,TARANTO,FINO AL TERMINE,TRA 35 E 44,4,21
201617,VERBANO-CUSIO-OSSOLA,FINO AL TERMINE,FINO A 34,10,12
201617,TERNI,ANNUALE,TRA 45 E 54,0,3
201617,AGRIGENTO,FINO AL TERMINE,TRA 45 E 54,3,4
201617,FERMO,FINO AL TERMINE,TRA 35 E 44,1,1
201617,ROVIGO,FINO AL TERMINE,FINO A 34,2,5
201617,TERAMO,FINO AL TERMINE,FINO A 34,2,1
201617,PERUGIA,FINO AL TERMINE,TRA 35 E 44,8,20
201617,PESARO E URBINO,ANNUALE,TRA 45 E 54,7,16
201617,VERCELLI,ANNUALE,TRA 45 E 54,1,5
201617,VERONA,ANNUALE,FINO A 34,5,5
201617,NOVARA,ANNUALE,FINO A 34,0,1
201617,NAPOLI,FINO AL TERMINE,TRA 35 E 44,74,104
201617,PAVIA,FINO AL TERMINE,TRA 35 E 44,8,34
201617,CATANZARO,ANNUALE,OLTRE 54,4,5
201617,VERCELLI,FINO AL TERMINE,TRA 45 E 54,8,17
201617,LATINA,FINO AL TERMINE,TRA 35 E 44,6,9
201617,PISTOIA,ANNUALE,TRA 35 E 44,1,9
201617,FERRARA,ANNUALE,TRA 35 E 44,0,2
201617,ALESSANDRIA,ANNUALE,TRA 45 E 54,1,9
201617,PESCARA,FINO AL TERMINE,FINO A 34,0,1
201617,BRESCIA,FINO AL TERMINE,TRA 35 E 44,34,86
201617,PORDENONE,ANNUALE,TRA 35 E 44,1,7
201617,FOGGIA,ANNUALE,TRA 35 E 44,1,0
201617,TARANTO,ANNUALE,TRA 35 E 44,1,4
201617,MACERATA,ANNUALE,TRA 45 E 54,3,6
201617,FIRENZE,FINO AL TERMINE,TRA 35 E 44,45,65
201617,VERCELLI,ANNUALE,TRA 35 E 44,1,1
201617,CROTONE,FINO AL TERMINE,FINO A 34,0,1
201617,ASCOLI PICENO,FINO AL TERMINE,TRA 45 E 54,5,27
201617,PISA,ANNUALE,OLTRE 54,1,6
201617,PAVIA,ANNUALE,TRA 35 E 44,2,3
201617,PARMA,FINO AL TERMINE,TRA 35 E 44,21,52
201617,VENEZIA,ANNUALE,TRA 35 E 44,2,3
201617,NUORO,ANNUALE,TRA 35 E 44,3,0
201617,LODI,FINO AL TERMINE,FINO A 34,7,6
201617,PESCARA,ANNUALE,FINO A 34,1,0
201617,PISA,FINO AL TERMINE,OLTRE 54,7,18
201617,CREMONA,ANNUALE,TRA 45 E 54,0,12
201617,BOLOGNA,FINO AL TERMINE,OLTRE 54,12,38
201617,ANCONA,ANNUALE,OLTRE 54,2,11
201617,TARANTO,ANNUALE,FINO A 34,0,2
201617,CALTANISSETTA,ANNUALE,FINO A 34,1,0
201617,IMPERIA,FINO AL TERMINE,TRA 45 E 54,6,25
201617,FROSINONE,FINO AL TERMINE,TRA 35 E 44,1,3
201617,TRAPANI,FINO AL TERMINE,TRA 35 E 44,1,2
201617,SASSARI,FINO AL TERMINE,TRA 35 E 44,0,5
201617,FERMO,FINO AL TERMINE,TRA 45 E 54,2,8
201617,PERUGIA,ANNUALE,OLTRE 54,3,5
201617,POTENZA,FINO AL TERMINE,FINO A 34,2,4
201617,PARMA,ANNUALE,FINO A 34,0,1
201617,BARLETTA-ADRIA-TRANI,FINO AL TERMINE,FINO A 34,5,2
201617,LECCO,FINO AL TERMINE,TRA 35 E 44,10,25
201617,CATANIA,ANNUALE,FINO A 34,0,1
201617,COMO,FINO AL TERMINE,FINO A 34,17,18
201617,MASSA,ANNUALE,OLTRE 54,0,1
201617,SAVONA,FINO AL TERMINE,OLTRE 54,4,15
201617,RIETI,ANNUALE,TRA 35 E 44,0,2
201617,MILANO,ANNUALE,FINO A 34,31,19
201617,TRIESTE,FINO AL TERMINE,FINO A 34,5,18
201617,TORINO,FINO AL TERMINE,FINO A 34,103,162
201617,AGRIGENTO,ANNUALE,OLTRE 54,2,7
201617,AREZZO,FINO AL TERMINE,FINO A 34,3,9
201617,MODENA,ANNUALE,FINO A 34,4,4
201617,PESCARA,FINO AL TERMINE,OLTRE 54,13,28
201617,TRIESTE,ANNUALE,TRA 35 E 44,1,2
201617,AVELLINO,FINO AL TERMINE,TRA 35 E 44,5,7
201617,BRESCIA,ANNUALE,TRA 45 E 54,16,24
201617,NOVARA,ANNUALE,OLTRE 54,0,3
201617,MESSINA,FINO AL TERMINE,TRA 35 E 44,3,6
201617,PAVIA,FINO AL TERMINE,OLTRE 54,6,15
201617,BENEVENTO,FINO AL TERMINE,TRA 35 E 44,7,3
201617,VARESE,ANNUALE,OLTRE 54,8,4
201617,FORLI'-CESENA,FINO AL TERMINE,OLTRE 54,12,20
201617,COSENZA,FINO AL TERMINE,FINO A 34,1,0
201617,CASERTA,FINO AL TERMINE,TRA 35 E 44,11,37
201617,L'AQUILA,ANNUALE,TRA 45 E 54,1,5
201617,MODENA,FINO AL TERMINE,OLTRE 54,14,37
201617,REGGIO CALABRIA,FINO AL TERMINE,FINO A 34,1,3
201617,AGRIGENTO,ANNUALE,TRA 45 E 54,3,3
201617,SASSARI,ANNUALE,TRA 45 E 54,1,4
201617,MATERA,FINO AL TERMINE,TRA 45 E 54,12,34
201617,MANTOVA,ANNUALE,OLTRE 54,2,2
201617,UDINE,FINO AL TERMINE,FINO A 34,20,28
201617,GORIZIA,ANNUALE,TRA 35 E 44,1,2
201617,FOGGIA,FINO AL TERMINE,TRA 45 E 54,12,27
201617,TERAMO,FINO AL TERMINE,TRA 45 E 54,10,34
201617,BRINDISI,FINO AL TERMINE,TRA 35 E 44,2,10
201617,PADOVA,FINO AL TERMINE,TRA 35 E 44,19,53
201617,PESARO E URBINO,ANNUALE,OLTRE 54,4,6
201617,BIELLA,FINO AL TERMINE,TRA 35 E 44,17,21
201617,VENEZIA,ANNUALE,FINO A 34,2,4
201617,ASTI,FINO AL TERMINE,TRA 35 E 44,3,26
201617,SAVONA,ANNUALE,OLTRE 54,2,6
201617,LODI,FINO AL TERMINE,TRA 45 E 54,1,31
201617,COSENZA,ANNUALE,OLTRE 54,12,17
201617,L'AQUILA,ANNUALE,TRA 35 E 44,0,2
201617,LIVORNO,FINO AL TERMINE,TRA 35 E 44,1,9
201617,RAGUSA,ANNUALE,TRA 45 E 54,7,8
201617,VERBANO-CUSIO-OSSOLA,ANNUALE,TRA 45 E 54,1,3
201617,OGLIASTRA,ANNUALE,TRA 45 E 54,1,6
201617,FROSINONE,ANNUALE,OLTRE 54,2,15
201617,SIRACUSA,FINO AL TERMINE,TRA 45 E 54,16,25
201617,MASSA,FINO AL TERMINE,OLTRE 54,2,15
201617,BOLOGNA,ANNUALE,OLTRE 54,1,3
201617,FERMO,ANNUALE,TRA 35 E 44,0,1
201617,NOVARA,FINO AL TERMINE,TRA 45 E 54,17,18
201617,TORINO,ANNUALE,TRA 35 E 44,14,23
201617,VARESE,FINO AL TERMINE,FINO A 34,18,23
201617,BOLOGNA,ANNUALE,FINO A 34,4,4
201617,ROMA,FINO AL TERMINE,TRA 45 E 54,106,357
201617,LUCCA,ANNUALE,FINO A 34,1,0
201617,PISTOIA,FINO AL TERMINE,TRA 35 E 44,11,12
201617,PARMA,FINO AL TERMINE,OLTRE 54,12,14
201617,ALESSANDRIA,FINO AL TERMINE,TRA 35 E 44,14,22
201617,PALERMO,ANNUALE,TRA 45 E 54,56,19
201617,ANCONA,ANNUALE,FINO A 34,1,3
201617,RAGUSA,ANNUALE,TRA 35 E 44,1,0
201617,AREZZO,ANNUALE,TRA 45 E 54,2,9
201617,RIETI,FINO AL TERMINE,FINO A 34,5,0
201617,SIENA,ANNUALE,TRA 45 E 54,2,10
201617,OGLIASTRA,ANNUALE,TRA 35 E 44,2,1
201617,GENOVA,FINO AL TERMINE,TRA 35 E 44,17,43
201617,FROSINONE,FINO AL TERMINE,TRA 45 E 54,4,24
201617,VERBANO-CUSIO-OSSOLA,ANNUALE,TRA 35 E 44,1,1
201617,BELLUNO,FINO AL TERMINE,OLTRE 54,5,12
201617,MONZA E BRIANZA,FINO AL TERMINE,TRA 45 E 54,13,28
201617,GROSSETO,ANNUALE,TRA 45 E 54,3,6
201617,LUCCA,ANNUALE,OLTRE 54,2,3
201617,SONDRIO,FINO AL TERMINE,OLTRE 54,2,20
201617,BARI,FINO AL TERMINE,TRA 35 E 44,9,26
201617,BIELLA,ANNUALE,TRA 35 E 44,0,1
201617,ASCOLI PICENO,FINO AL TERMINE,FINO A 34,0,1
201617,CUNEO,ANNUALE,OLTRE 54,7,4
201617,RAGUSA,ANNUALE,FINO A 34,1,0
201617,AREZZO,ANNUALE,TRA 35 E 44,3,3
201617,BRINDISI,FINO AL TERMINE,FINO A 34,0,2
201617,VICENZA,ANNUALE,FINO A 34,7,4
201617,FOGGIA,FINO AL TERMINE,TRA 35 E 44,6,5
201617,REGGIO EMILIA,FINO AL TERMINE,FINO A 34,35,59
201617,TORINO,FINO AL TERMINE,OLTRE 54,37,77
201617,ISERNIA,ANNUALE,TRA 45 E 54,0,2
201617,MESSINA,ANNUALE,TRA 35 E 44,5,1
201617,FERMO,FINO AL TERMINE,FINO A 34,6,0
201617,ROVIGO,ANNUALE,OLTRE 54,2,1
201617,MONZA E BRIANZA,FINO AL TERMINE,TRA 35 E 44,29,45
201617,LUCCA,ANNUALE,TRA 45 E 54,0,10
201617,PISTOIA,FINO AL TERMINE,OLTRE 54,3,6
201617,BELLUNO,ANNUALE,FINO A 34,2,0
201617,NAPOLI,FINO AL TERMINE,OLTRE 54,192,275
201617,CATANIA,ANNUALE,TRA 35 E 44,2,1
201617,PRATO,FINO AL TERMINE,TRA 35 E 44,8,15
201617,PESARO E URBINO,FINO AL TERMINE,TRA 35 E 44,8,15
201617,ASCOLI PICENO,ANNUALE,OLTRE 54,0,1
201617,VERCELLI,FINO AL TERMINE,TRA 35 E 44,7,22
201617,PISTOIA,ANNUALE,FINO A 34,1,1
201617,BARLETTA-ADRIA-TRANI,ANNUALE,TRA 45 E 54,13,20
201617,CHIETI,FINO AL TERMINE,TRA 35 E 44,3,4
201617,COSENZA,FINO AL TERMINE,TRA 35 E 44,8,4
201617,MEDIO-CAMPITANO,FINO AL TERMINE,TRA 45 E 54,0,10
201617,LIVORNO,ANNUALE,FINO A 34,1,0
201617,ASCOLI PICENO,ANNUALE,TRA 35 E 44,0,1
201617,RIMINI,ANNUALE,TRA 35 E 44,3,1
201617,FERRARA,FINO AL TERMINE,OLTRE 54,9,32
201617,FIRENZE,FINO AL TERMINE,FINO A 34,36,62
201617,ENNA,ANNUALE,OLTRE 54,0,2
201617,NAPOLI,ANNUALE,TRA 35 E 44,7,16
201617,PESARO E URBINO,FINO AL TERMINE,FINO A 34,12,5
201617,BENEVENTO,ANNUALE,OLTRE 54,2,6
201617,PARMA,FINO AL TERMINE,FINO A 34,44,76
201617,FORLI'-CESENA,FINO AL TERMINE,TRA 35 E 44,29,42
201617,VERONA,FINO AL TERMINE,OLTRE 54,11,16
201617,SALERNO,FINO AL TERMINE,FINO A 34,1,1
201617,LODI,ANNUALE,OLTRE 54,0,4
201617,CREMONA,ANNUALE,TRA 35 E 44,2,1
201617,ANCONA,ANNUALE,TRA 45 E 54,9,21
201617,RIMINI,ANNUALE,FINO A 34,2,0
201617,VIBO VALENTIA,FINO AL TERMINE,TRA 45 E 54,2,1
201617,VERBANO-CUSIO-OSSOLA,ANNUALE,OLTRE 54,0,5
201617,REGGIO CALABRIA,ANNUALE,TRA 45 E 54,1,0
201617,FERRARA,FINO AL TERMINE,FINO A 34,10,46
201617,MATERA,ANNUALE,TRA 45 E 54,0,2
201617,BELLUNO,FINO AL TERMINE,TRA 35 E 44,12,28
201617,FIRENZE,ANNUALE,TRA 35 E 44,1,8
201617,NAPOLI,ANNUALE,FINO A 34,3,3
201617,VENEZIA,FINO AL TERMINE,TRA 45 E 54,27,78
201617,LECCO,FINO AL TERMINE,FINO A 34,9,18
201617,NUORO,FINO AL TERMINE,OLTRE 54,3,14
201617,COMO,ANNUALE,OLTRE 54,2,2
201617,L'AQUILA,FINO AL TERMINE,OLTRE 54,20,55
201617,PRATO,ANNUALE,TRA 45 E 54,2,9
201617,TREVISO,FINO AL TERMINE,FINO A 34,23,35
201617,REGGIO CALABRIA,FINO AL TERMINE,OLTRE 54,32,42
201617,RAGUSA,FINO AL TERMINE,OLTRE 54,13,15
201617,FERRARA,ANNUALE,OLTRE 54,1,5
201617,ROVIGO,ANNUALE,TRA 45 E 54,0,6
201617,MONZA E BRIANZA,FINO AL TERMINE,OLTRE 54,2,7
201617,VERCELLI,ANNUALE,FINO A 34,1,1
201617,BRESCIA,ANNUALE,TRA 35 E 44,7,9
201617,NOVARA,ANNUALE,TRA 45 E 54,1,5
201617,VERONA,FINO AL TERMINE,FINO A 34,30,44
201617,ASCOLI PICENO,FINO AL TERMINE,TRA 35 E 44,1,5
201617,BENEVENTO,FINO AL TERMINE,FINO A 34,2,2
201617,ASTI,ANNUALE,TRA 35 E 44,2,3
201617,VARESE,ANNUALE,TRA 45 E 54,8,16
201617,ROMA,FINO AL TERMINE,FINO A 34,45,72
201617,BARLETTA-ADRIA-TRANI,ANNUALE,FINO A 34,1,1
201617,PALERMO,FINO AL TERMINE,OLTRE 54,53,31
201617,PRATO,ANNUALE,TRA 35 E 44,1,1
201617,MODENA,FINO AL TERMINE,TRA 45 E 54,48,110
201617,ROVIGO,ANNUALE,FINO A 34,0,1
201617,CAGLIARI,FINO AL TERMINE,TRA 35 E 44,3,4
201617,TERAMO,ANNUALE,TRA 35 E 44,0,2
201617,VITERBO,FINO AL TERMINE,TRA 45 E 54,14,19
201617,ORISTANO,ANNUALE,TRA 45 E 54,0,4
201617,VERBANO-CUSIO-OSSOLA,FINO AL TERMINE,TRA 45 E 54,12,22
201617,REGGIO CALABRIA,ANNUALE,OLTRE 54,1,1
201617,PIACENZA,ANNUALE,TRA 35 E 44,0,3
201617,MATERA,FINO AL TERMINE,TRA 35 E 44,1,2
201617,UDINE,ANNUALE,OLTRE 54,0,2
201617,GORIZIA,ANNUALE,FINO A 34,1,0
201617,GORIZIA,FINO AL TERMINE,OLTRE 54,3,23
201617,OLBIA-TEMPIO,ANNUALE,OLTRE 54,2,10
201617,RAVENNA,FINO AL TERMINE,FINO A 34,17,39
201617,VERONA,ANNUALE,OLTRE 54,2,7
201617,PRATO,FINO AL TERMINE,OLTRE 54,0,17
201617,GROSSETO,FINO AL TERMINE,FINO A 34,3,6
201617,PARMA,ANNUALE,OLTRE 54,1,1
201617,VERCELLI,FINO AL TERMINE,OLTRE 54,2,10
201617,BARLETTA-ADRIA-TRANI,ANNUALE,OLTRE 54,10,8
201617,ASTI,FINO AL TERMINE,FINO A 34,14,16
201617,ROMA,ANNUALE,OLTRE 54,9,26
201617,CAMPOBASSO,FINO AL TERMINE,OLTRE 54,17,18
201617,LODI,FINO AL TERMINE,TRA 35 E 44,3,9
201617,COMO,FINO AL TERMINE,OLTRE 54,8,16
201617,OLBIA-TEMPIO,FINO AL TERMINE,TRA 45 E 54,7,20
201617,CUNEO,ANNUALE,TRA 35 E 44,2,4
201617,PORDENONE,FINO AL TERMINE,OLTRE 54,6,27
201617,VICENZA,ANNUALE,OLTRE 54,1,8
201617,BARI,ANNUALE,TRA 35 E 44,1,3
201617,VARESE,FINO AL TERMINE,TRA 35 E 44,24,37
201617,TARANTO,FINO AL TERMINE,OLTRE 54,20,35
201617,MODENA,ANNUALE,OLTRE 54,2,6
201617,VITERBO,ANNUALE,TRA 45 E 54,5,7
201617,PERUGIA,FINO AL TERMINE,OLTRE 54,20,37
201617,VERONA,ANNUALE,TRA 45 E 54,5,8
201617,BERGAMO,ANNUALE,TRA 45 E 54,7,20
201617,OLBIA-TEMPIO,ANNUALE,TRA 45 E 54,1,10
201617,PADOVA,ANNUALE,FINO A 34,8,3
201617,TORINO,ANNUALE,FINO A 34,23,31
201617,GROSSETO,ANNUALE,OLTRE 54,0,2
201617,LATINA,FINO AL TERMINE,OLTRE 54,13,34
201617,IMPERIA,ANNUALE,TRA 35 E 44,0,2
201617,PARMA,FINO AL TERMINE,TRA 45 E 54,18,50
201617,CARBONIA-IGLESIAS,ANNUALE,TRA 45 E 54,0,1
201617,ALESSANDRIA,FINO AL TERMINE,FINO A 34,10,29
201617,MEDIO-CAMPITANO,ANNUALE,OLTRE 54,1,0
201617,ROMA,ANNUALE,FINO A 34,10,8
201617,CUNEO,ANNUALE,FINO A 34,1,6
201617,PALERMO,ANNUALE,TRA 35 E 44,28,8
201617,CREMONA,FINO AL TERMINE,OLTRE 54,4,10
201617,PORDENONE,ANNUALE,OLTRE 54,0,2
201617,UDINE,FINO AL TERMINE,TRA 45 E 54,12,83
201617,TRIESTE,FINO AL TERMINE,OLTRE 54,6,18
201617,RIETI,ANNUALE,TRA 45 E 54,0,4
201617,AVELLINO,FINO AL TERMINE,OLTRE 54,23,59
201617,VENEZIA,FINO AL TERMINE,OLTRE 54,12,40
201617,TARANTO,ANNUALE,OLTRE 54,2,7
201617,GENOVA,FINO AL TERMINE,FINO A 34,30,52
201617,MODENA,ANNUALE,TRA 45 E 54,5,4
201617,MILANO,FINO AL TERMINE,OLTRE 54,15,40
201617,AGRIGENTO,ANNUALE,TRA 35 E 44,1,4
