ANNOSCOLASTICO,PROVINCIA,TIPOSUPPLENZA,FASCIAETA,ATASUPPLENTIMASCHI,ATASUPPLENTIFEMMINE
201617,CROTONE,ANNUALE,TRA 35 E 44,0,2
201617,RAVENNA,ANNUALE,OLTRE 54,3,4
201617,BARI,FINO AL TERMINE,OLTRE 54,32,50
201617,BIELLA,ANNUALE,FINO A 34,0,4
201617,PARMA,ANNUALE,TRA 45 E 54,3,3
201617,CATANIA,FINO AL TERMINE,FINO A 34,4,4
201617,FERRARA,ANNUALE,FINO A 34,2,2
201617,PAVIA,ANNUALE,FINO A 34,5,3
201617,SALERNO,ANNUALE,TRA 45 E 54,7,10
201617,PESCARA,ANNUALE,OLTRE 54,5,7
201617,L'AQUILA,FINO AL TERMINE,TRA 45 E 54,18,42
201617,FIRENZE,FINO AL TERMINE,OLTRE 54,13,28
201617,VICENZA,ANNUALE,TRA 45 E 54,3,15
201617,RIMINI,FINO AL TERMINE,FINO A 34,14,16
201617,REGGIO CALABRIA,FINO AL TERMINE,TRA 45 E 54,35,36
201617,VITERBO,ANNUALE,TRA 35 E 44,1,3
201617,ISERNIA,FINO AL TERMINE,TRA 45 E 54,3,7
201617,CATANIA,ANNUALE,OLTRE 54,2,23
201617,PESARO E URBINO,FINO AL TERMINE,OLTRE 54,15,28
201617,AVELLINO,ANNUALE,TRA 45 E 54,1,17
201617,BRESCIA,FINO AL TERMINE,OLTRE 54,20,33
201617,COSENZA,FINO AL TERMINE,OLTRE 54,21,28
201617,RIETI,FINO AL TERMINE,OLTRE 54,3,14
201617,LIVORNO,ANNUALE,TRA 45 E 54,3,6
201617,REGGIO CALABRIA,FINO AL TERMINE,TRA 35 E 44,1,5
201617,CARBONIA-IGLESIAS,FINO AL TERMINE,OLTRE 54,2,21
201617,CAMPOBASSO,FINO AL TERMINE,FINO A 34,2,4
201617,CAGLIARI,FINO AL TERMINE,FINO A 34,0,2
201617,RIMINI,ANNUALE,OLTRE 54,1,6
201617,OGLIASTRA,FINO AL TERMINE,OLTRE 54,0,3
201617,IMPERIA,FINO AL TERMINE,TRA 35 E 44,6,6
201617,MACERATA,FINO AL TERMINE,FINO A 34,8,6
201617,TERNI,ANNUALE,FINO A 34,1,0
201617,ROVIGO,FINO AL TERMINE,TRA 45 E 54,6,30
201617,BRESCIA,ANNUALE,FINO A 34,4,5
201617,VERCELLI,FINO AL TERMINE,FINO A 34,10,25
201617,NAPOLI,ANNUALE,OLTRE 54,40,30
201617,CATANZARO,FINO AL TERMINE,TRA 45 E 54,16,32
201617,CHIETI,ANNUALE,TRA 45 E 54,0,8
201617,PALERMO,FINO AL TERMINE,TRA 45 E 54,67,72
201617,LA SPEZIA,FINO AL TERMINE,FINO A 34,1,1
201617,ANCONA,FINO AL TERMINE,FINO A 34,7,7
201617,CARBONIA-IGLESIAS,FINO AL TERMINE,TRA 45 E 54,2,7
201617,BARLETTA-ADRIA-TRANI,FINO AL TERMINE,TRA 45 E 54,13,32
201617,VERBANO-CUSIO-OSSOLA,FINO AL TERMINE,TRA 35 E 44,9,22
201617,IMPERIA,FINO AL TERMINE,FINO A 34,1,3
201617,VIBO VALENTIA,FINO AL TERMINE,TRA 35 E 44,0,1
201617,FERRARA,FINO AL TERMINE,TRA 45 E 54,12,46
201617,MANTOVA,FINO AL TERMINE,OLTRE 54,6,11
201617,PIACENZA,FINO AL TERMINE,TRA 35 E 44,7,26
201617,TRIESTE,ANNUALE,FINO A 34,0,2
201617,AVELLINO,FINO AL TERMINE,FINO A 34,5,1
201617,GORIZIA,FINO AL TERMINE,FINO A 34,1,5
201617,LUCCA,FINO AL TERMINE,OLTRE 54,3,30
201617,CROTONE,ANNUALE,OLTRE 54,4,1
201617,POTENZA,FINO AL TERMINE,TRA 35 E 44,5,6
201617,MESSINA,FINO AL TERMINE,FINO A 34,1,2
201617,VERONA,ANNUALE,TRA 35 E 44,3,4
201617,BERGAMO,ANNUALE,TRA 35 E 44,3,8
201617,ASTI,ANNUALE,TRA 45 E 54,1,3
201617,SAVONA,FINO AL TERMINE,TRA 45 E 54,11,29
201617,ROVIGO,FINO AL TERMINE,OLTRE 54,5,16
201617,VENEZIA,ANNUALE,OLTRE 54,1,5
201617,CROTONE,FINO AL TERMINE,TRA 45 E 54,14,12
201617,NUORO,ANNUALE,OLTRE 54,3,0
201617,CUNEO,FINO AL TERMINE,TRA 35 E 44,31,60
201617,CASERTA,FINO AL TERMINE,FINO A 34,4,10
201617,CREMONA,FINO AL TERMINE,FINO A 34,10,16
201617,BOLOGNA,FINO AL TERMINE,TRA 35 E 44,44,94
201617,ORISTANO,FINO AL TERMINE,TRA 35 E 44,1,2
201617,PERUGIA,ANNUALE,TRA 45 E 54,5,18
201617,MACERATA,ANNUALE,OLTRE 54,2,5
201617,TERNI,FINO AL TERMINE,OLTRE 54,1,39
201617,ORISTANO,FINO AL TERMINE,OLTRE 54,11,20
201617,BRESCIA,ANNUALE,OLTRE 54,5,5
201617,BELLUNO,FINO AL TERMINE,FINO A 34,19,23
201617,VICENZA,FINO AL TERMINE,TRA 35 E 44,26,80
201617,NOVARA,FINO AL TERMINE,FINO A 34,33,50
201617,VERONA,FINO AL TERMINE,TRA 45 E 54,11,56
201617,PADOVA,FINO AL TERMINE,FINO A 34,25,44
201617,ASCOLI PICENO,FINO AL TERMINE,OLTRE 54,7,22
201617,VARESE,ANNUALE,TRA 35 E 44,0,3
201617,PAVIA,ANNUALE,TRA 45 E 54,1,7
201617,GROSSETO,FINO AL TERMINE,OLTRE 54,1,14
201617,SAVONA,ANNUALE,TRA 45 E 54,1,3
201617,COSENZA,ANNUALE,TRA 45 E 54,19,11
201617,OLBIA-TEMPIO,FINO AL TERMINE,OLTRE 54,1,10
201617,TERAMO,ANNUALE,OLTRE 54,1,1
201617,LIVORNO,FINO AL TERMINE,FINO A 34,5,7
201617,MASSA,ANNUALE,TRA 45 E 54,1,3
201617,CATANZARO,ANNUALE,TRA 45 E 54,5,7
201617,RIMINI,FINO AL TERMINE,TRA 35 E 44,21,26
201617,GENOVA,ANNUALE,TRA 45 E 54,6,16
201617,SIENA,ANNUALE,TRA 35 E 44,3,5
201617,VIBO VALENTIA,ANNUALE,TRA 45 E 54,1,2
201617,MILANO,ANNUALE,TRA 45 E 54,34,41
201617,PIACENZA,ANNUALE,OLTRE 54,0,3
201617,AREZZO,FINO AL TERMINE,TRA 45 E 54,6,35
201617,BOLOGNA,ANNUALE,TRA 45 E 54,3,6
201617,PESCARA,FINO AL TERMINE,TRA 45 E 54,7,30
201617,TREVISO,FINO AL TERMINE,TRA 35 E 44,28,63
201617,LECCE,ANNUALE,FINO A 34,1,0
201617,OLBIA-TEMPIO,FINO AL TERMINE,TRA 35 E 44,1,8
201617,PADOVA,ANNUALE,OLTRE 54,5,6
201617,GROSSETO,FINO AL TERMINE,TRA 45 E 54,4,30
201617,AVELLINO,ANNUALE,OLTRE 54,6,5
201617,SIENA,ANNUALE,FINO A 34,0,1
201617,LODI,FINO AL TERMINE,OLTRE 54,0,12
201617,PESCARA,ANNUALE,TRA 35 E 44,1,0
201617,LECCO,FINO AL TERMINE,TRA 45 E 54,4,31
201617,CREMONA,FINO AL TERMINE,TRA 35 E 44,8,42
201617,COMO,FINO AL TERMINE,TRA 45 E 54,8,52
201617,LIVORNO,ANNUALE,OLTRE 54,2,5
201617,NOVARA,FINO AL TERMINE,OLTRE 54,4,8
201617,CAMPOBASSO,FINO AL TERMINE,TRA 35 E 44,4,5
201617,VERBANO-CUSIO-OSSOLA,ANNUALE,FINO A 34,0,1
201617,VITERBO,FINO AL TERMINE,FINO A 34,5,6
201617,SASSARI,ANNUALE,TRA 35 E 44,0,3
